

             CQWW DX CONTEST / CQ DX MARATHON COUNTRIES LIST
     
    Prefix          Entity                        Cont.    CQ ZONE
    
                       Spratly Is.                    AS        26
    1A0            Sov. Mil. Order of Malta       EU        15
    3A              Monaco                         EU        14
    3B6, 7        Agalega & St. Brandon Is.      AF        39
    3B8            Mauritius                      AF        39
    3B9            Rodrigues I.                   AF        39
    3C              Equatorial Guinea              AF        36
    3C0            Annobon I.                     AF        36
    3D2            Fiji                           OC        32
    3D2            Conway Reef                    OC        32
    3D2            Rotuma I.                      OC        32
    3DA            Swaziland                      AF        38
    3V              Tunisia                        AF        33
    3W, XV       Vietnam                        AS        26
    3X               Guinea                         AF        35
    3Y               Bouvet                         AF        38
    3Y               Peter I I.                     AN        12
    4J, 4K         Azerbaijan                     AS        21
    4L               Georgia                        AS        21
    4O              Montenegro                     EU        15  
    4P-4S         Sri Lanka                      AS        22
    4U1ITU      ITU HQ (Geneva)                EU        14
    4U1UN      United Nations HQ (NY)         NA        05
    4U1VIC      ITU Vienna Int'l Center        EU        15
    4W             Timor - Leste                  OC        28
    4X, 4Z        Israel                         AS        20
    5A              Libya                          AF        34
    5B              Cyprus                         AS        20
    5H-5I         Tanzania                       AF        37
    5N-5O       Nigeria                        AF        35
    5R-5S        Madagascar                     AF        39
    5T              Mauritania                     AF        35
    5U             Niger                          AF        35
    5V             Togo                           AF        35
    5W            Samoa                          OC        32
    5X              Uganda                         AF        37
    5Y-5Z         Kenya                          AF        37
    6V-6W       Senegal                        AF        35
    6Y              Jamaica                        NA        08
    7O              Yemen                          AS        21
    7P              Lesotho                        AF        38
    7Q              Malawi                         AF        37
    7T-7Y          Algeria                        AF        33
    8P              Barbados                       NA        08
    8Q              Maldives                       AS/AF     22
    8R              Guyana                         SA        09
    9A              Croatia                        EU        15
    9G              Ghana                          AF        35
    9H              Malta                          EU        15
    9I-9J           Zambia                         AF        36
    9K              Kuwait                         AS        21
    9L              Sierra Leone                   AF        35
    9M2,4       West Malaysia                  AS        28
    9M6,8       East Malaysia                  OC        28
    9N              Nepal                          AS        22
    9Q-9T        Dem. Rep. of Congo             AF        36
    9U              Burundi                        AF        36
    9V              Singapore                      AS        28
    9X              Rwanda                         AF        36
    9Y-9Z         Trinidad & Tobago              SA        09
    A2              Botswana                       AF        38
    A3              Tonga                          OC        32
    A4              Oman                           AS        21
    A5              Bhutan                         AS        22
    A6              United Arab Emirates           AS        21
    A7              Qatar                          AS        21
    A9              Bahrain                        AS        21
    AP-AS           Pakistan                       AS        21
    BS7             Scarborough Reef               AS        27 
    BV              Taiwan                         AS        24
    BV9P            Pratas I.                      AS        24
    BY              China                          AS        23,24
    C2              Nauru                          OC        31
    C3              Andorra                        EU        14
    C5              The Gambia                     AF        35
    C6              Bahamas                        NA        08
    C8-9            Mozambique                     AF        37
    CA-CE           Chile                          SA        12
    CE0             Easter I.                      SA        12
    CE0             Juan Fernandez Is.             SA        12
    CE0             San Felix & San Ambrosio       SA        12
    CE9/KC4         Antarctica                     AN        12,13,29,30,38,39
    CM, CO          Cuba                           NA        08
    CN              Morocco                        AF        33
    CP              Bolivia                        SA        10
    CT              Portugal                       EU        14
    CT3             Madeira Is.                    AF        33
    CU              Azores                         EU        14
    CV-CX           Uruguay                        SA        13
    CY0             Sable I.                       NA        05
    CY9             St. Paul I.                    NA        05
    D2-3            Angola                         AF        36
    D4              Cape Verde                     AF        35
    D6              Comoros                        AF        39
    DA-DR           Fed. Rep. of Germany           EU        14
    DU-DZ           Philippines                    OC        27
    E3              Eritrea                        AF        37
    E4              Palestine                      AS        20
    E5              N. Cook Is.                    OC        32
    E5              S. Cook Is.                    OC        32    
    E6              Niue                           OC        32
    E7              Bosnia-Herzegovina             EU        15
    EA-EH           Spain                          EU        14
    EA6-EH6         Balearic Is.                   EU        14
    EA8-EH8         Canary Is.                     AF        33
    EA9-EH9         Ceuta & Melilla                AF        33
    EI-EJ           Ireland                        EU        14
    EK              Armenia                        AS        21
    EL              Liberia                        AF        35
    EP-EQ           Iran                           AS        21
    ER              Moldovia                       EU        16
    ES              Estonia                        EU        15
    ET              Ethiopia                       AF        37
    EU, EV, EW      Belarus                        EU        16
